(R) 1986 - QUARTAS-DE-FINAL - Argentina  x Inglaterra 
[COPA 2014] - GRUPO H - 22/6 - Bélgica (1) x (0) Rússia  - Rio de Janeiro
[COPA 2014] - GRUPO H - 22/6 - Coreia do Sul (2) x (4) Argélia  - Porto Alegre
[COPA 2014] - GRUPO H - 26/6 - Coreia do Sul (0) x (1) Bélgica  - São Paulo
[COPA 2014] - GRUPO H - 26/6 - Argélia (1) x (1) Rússia  - Curitiba
[COPA 2014] - OITAVAS-DE-FINAL - 28/6 - Brasil (1) x (1) Chile  - Belo Horizonte
[COPA 2014] - OITAVAS-DE-FINAL - 28/6 - Colômbia (2) x (0) Uruguai  - Rio de Janeiro
[COPA 2014] - OITAVAS-DE-FINAL - 29/6 - Holanda (2) x (1) México  - Fortaleza
[COPA 2014] - OITAVAS-DE-FINAL - 29/6 - Costa Rica (1) x (1) Grécia  - Recife
[COPA 2014] - OITAVAS-DE-FINAL - 30/6 - França (2) x (0) Nigéria  - Brasília
[COPA 2014] - OITAVAS-DE-FINAL - 30/6 - Alemanha (2) x (1) Argélia  - Porto Alegre
[COPA 2014] - OITAVAS-DE-FINAL - 1/7 - Argentina (1) x (0) Suíça  - São Paulo
[COPA 2014] - OITAVAS-DE-FINAL - 1/7 - Bélgica (2) x (1) Estados Unidos  - Salvador
[COPA 2014] - QUARTAS-DE-FINAL - 4/7 - França (0) x (1) Alemanha  - Rio de Janeiro
[COPA 2014] - QUARTAS-DE-FINAL - 4/7 - Brasil (2) x (1) Colômbia  - Fortaleza
[COPA 2014] - QUARTAS-DE-FINAL - 5/7 - Argentina (1) x (0) Bélgica  - Brasília
[COPA 2014] - QUARTAS-DE-FINAL - 5/7 - Holanda (0) x (0) Costa Rica  - Salvador
[COPA 2014] - SEMIFINAL - 8/7 - Brasil (1) x (7) Alemanha  - Belo Horizonte
[COPA 2014] - SEMIFINAL - 9/7 - Holanda (0) x (0) Argentina  - São Paulo
[COPA 2014] - Disp. 3°. Lugar  - 12/7 - Brasil (0) x (3) Holanda  - Brasília
[COPA 2014] - FINAL - 13/7 - Alemanha (1) x (0) Argentina  - Rio de Janeiro
[COPA 1950] - GRUPO A - 2/7 - Suíça (2) x (1) México  - Porto Alegre
[COPA 1970] - GRUPO C - 2/6 - Inglaterra (1) x (0) Romênia  - Guadalajara
[COPA 2010] - GRUPO H - 25/6 - Suíça (0) x (0) Honduras  - Bloemfontein
[COPA 1938] - OITAVAS-DE-FINAL - 5/6 - Brasil (6) x (5) Polônia  - Strasbourg
[COPA 1950] - GRUPO B - 2/7 - Espanha (1) x (0) Inglaterra  - Rio de Janeiro
